State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Vizianagaram,2024-06-04,2024,06,0.0027101535,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-06-09,2024,06,0.0663374365,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-06-10,2024,06,0.0088264664,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-06-11,2024,06,0.0001201238,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-06-21,2024,06,0.7404102823,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-06-29,2024,06,1.3047399105,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-07-01,2024,07,0.837067423,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-07-13,2024,07,4.8175769506,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-07-15,2024,07,4.2871173548,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-07-23,2024,07,17.2824035953,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-07-26,2024,07,12.2558167626,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-08-03,2024,08,2.7602306211,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-08-07,2024,08,17.2243341222,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-08-13,2024,08,1.3412947089,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-08-23,2024,08,6.7634628458,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-08-25,2024,08,4.7220627558,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-08-28,2024,08,21.0821595994,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-09-09,2024,09,8.4275613622,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-09-10,2024,09,1.5089447929,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-10-02,2024,10,7.4379139377,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-10-06,2024,10,1.9807229982,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-10-11,2024,10,1.8305205696,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-10-16,2024,10,5.550599864,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-10-26,2024,10,3.2525847352,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-11-04,2024,11,0.0,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-11-07,2024,11,0.2992773302,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-11-12,2024,11,0.1747599275,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-11-14,2024,11,4.9231e-05,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-11-15,2024,11,0.0002697982,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-11-22,2024,11,0.0,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-12-02,2024,12,5.2476778695,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-12-05,2024,12,0.0,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-12-10,2024,12,0.0,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-12-17,2024,12,0.0004078876,NRSC VIC MODEL
Andhra Pradesh,Vizianagaram,2024-12-29,2024,12,0.0571346979,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-01-07,2024,01,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-01-13,2024,01,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-01-14,2024,01,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-01-18,2024,01,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-01-20,2024,01,0.0090838006,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-01-27,2024,01,0.1297828977,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-02-05,2024,02,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-02-15,2024,02,0.0087442799,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-02-17,2024,02,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-02-24,2024,02,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-03-09,2024,03,0.000428576,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-03-15,2024,03,0.0026610395,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-03-19,2024,03,0.0184520733,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-03-20,2024,03,0.0500064571,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-04-04,2024,04,0.0490520144,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-04-19,2024,04,0.0233479159,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-04-24,2024,04,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-04-27,2024,04,0.0515610684,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-04-28,2024,04,0.0001518847,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-05-02,2024,05,3.8018e-06,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-05-09,2024,05,0.0,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-05-13,2024,05,2.4393035973,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-05-15,2024,05,10.5148319031,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-05-18,2024,05,5.7994326197,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-05-24,2024,05,1.5093717575,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-05-25,2024,05,3.7669944842,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-06-01,2024,06,2.3494527706,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-06-05,2024,06,0.0544579378,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-06-14,2024,06,0.2612590278,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-06-19,2024,06,9.5923733005,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-06-22,2024,06,16.4351915737,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-07-04,2024,07,0.6737710615,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-07-05,2024,07,25.5355527899,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-07-18,2024,07,12.1458861463,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-07-24,2024,07,2.5847960765,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-08-05,2024,08,2.2495394705,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-08-07,2024,08,12.690346946,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-08-11,2024,08,7.3233326224,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-08-15,2024,08,3.2499414714,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-08-19,2024,08,2.0434111473,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-08-22,2024,08,11.6373718472,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-08-23,2024,08,12.2787954519,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-08-24,2024,08,20.4368964379,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-08-25,2024,08,14.1911710064,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-08-26,2024,08,8.6889696942,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-09-01,2024,09,5.0041479469,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-09-04,2024,09,34.8280443222,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-09-09,2024,09,5.0534252481,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-09-12,2024,09,2.2020091402,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-09-27,2024,09,11.315656313,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-10-01,2024,10,1.8562627186,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-10-04,2024,10,0.6102170673,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-10-09,2024,10,5.4377352621,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-10-12,2024,10,1.9355426377,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-10-16,2024,10,6.1650506308,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-10-18,2024,10,8.7872746716,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-10-21,2024,10,5.3272758456,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-10-25,2024,10,0.0821002444,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-10-30,2024,10,0.0524361948,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-11-09,2024,11,0.6315992827,NRSC VIC MODEL
Andhra Pradesh,West Godavari,2024-11-11,2024,11,0.4501285882,NRSC VIC MODEL
